Item,Holder,Obtained,ID'd,Uses,Notes
Rod of Retribution,Ardin,Sisava's Corpse,X,N/A,
Potion of Poison Resistance,Ardin,Sisava's Corpse,X,1,
Bead of Force,Ardin,Hatching Stone Mines,X,1,
Shield +1,Fran,Hatching Stone Mines,X,N/A,
Cloak of Protection,Ibal,Hatching Stone Mines,X,N/A,
Dust of Disappearance,Ibal,Hatching Stone Mines,X,1,
Bead of Force,Theryn,Hatching Stone Mines,X,1,
Potion of Fire Breath,Theryn,Linen Street,X,0,
Potion of Sieging,Theryn,Tabitha,X,1,
Hat of Disguise,Liara/Valmar,Elmwall Study,X,N/A,
Lantern of Tracking (Dragons),Theryn,Elmwall Study,X,N/A,
Boots of Elvenkind,Ibal,Elmwall Study,X,N/A,
Deck of Illusions,Ardin,Elmwall Garden,X,25,
Handy Haversack,Ardin,Elmwall Garden,X,N/A,
Spell Scroll (Speak with Plants),Ardin,Elmwall Garden,X,1,
Potion of Growth,Ardin,Elmwall Garden,X,1,
Potion of Watchful Rest,Theryn,Tabitha,X,1,
Potion of Animal Friendship,Ardin,Red Drake Tent,X,1,
Warhammer +1,Fran,Red Drake Tent,X,1,
Medical Equipment,Liara,Karina's Lab,X,3,
Goggles of Night,Ardin,Karina's Lab,X,N/A,
Antitoxin,Ardin,Karina's Lab,X,2,
Essence of Ether,Ardin,Karina's Lab,X,2,
Earring of Containment,Valmar/Liara,Baern,X,1,
Stormbow,Theryn,Makaria Resurgence Party,X,N/A,
Astral Shard,Valmar/Liara,Makaria Resurgence Party,X,N/A,
Bracers of Defense,Valmar/Liara,Beneath the Black Rose,X,N/A,
Gloves of Missile Snaring,Theryn,Debris in Seacracker,X,N/A,
Spell Scroll (Create or Destroy Water),Liara,Debris in Seacracker,X,1,
Spell Scroll (Mass Suggestion),Ardin,Debris in Seacracker,X,1,
Potion of Lightning Resistance,Fran,Debris in Seacracker,X,1,
Chime of Opening,Valmar/Liara,Grippli Temple,X,5,
Lantern of Revealing,Theryn,Grippli Temple,X,2hrs,
Decanter of Endless Water,Ardin,Grippli Temple,X,N/A,
Serpent Scale Armor,Theryn,Grippli Temple,X,N/A,
Serpent's Fang,Fran,Grippli Temple,X,N/A,
Sending Stone,Ibal,Deathbringers,X,N/A,Connected to Deathbringers
Potion of Climbing,Theryn,Durrstaft Cave,X,2,
Wand of Paralysis,Ardin,Curse of Wardenwood,X,7,
